ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
2,3,288,2,3,9,810.0,2720.0,0.0,2700.0,0
2,3,224,2,1,1,50.0,2720.0,0.0,2700.0,0
2,4,219,2,3,24,2060.0,2720.0,0.0,2700.0,0
2,4,256,2,3,3,240.0,2720.0,0.0,2700.0,0
2,4,292,2,3,5,400.0,2720.0,0.0,2700.0,0
2,5,249,2,3,23,1970.0,2720.0,0.0,2690.0,1
2,5,284,2,3,9,720.0,2720.0,0.0,2690.0,1
2,6,245,2,3,24,2090.0,2730.0,0.0,2730.0,0
2,6,336,2,3,7,560.0,2730.0,0.0,2730.0,0
2,6,299,2,3,1,80.0,2730.0,0.0,2730.0,0
2,7,317,2,3,12,960.0,2700.0,0.0,2640.0,1
2,7,275,2,3,21,1680.0,2700.0,0.0,2640.0,1
2,8,247,2,3,22,1790.0,2760.0,0.0,2750.0,1
2,8,279,2,3,12,960.0,2760.0,0.0,2750.0,1
2,9,238,2,3,22,1800.0,2710.0,0.0,2690.0,0
2,9,282,2,3,10,800.0,2710.0,0.0,2690.0,0
2,9,290,2,3,1,90.0,2710.0,0.0,2690.0,0
2,10,335,2,3,22,1980.0,2720.0,0.0,2710.0,1
2,10,274,2,3,9,730.0,2720.0,0.0,2710.0,1
2,11,235,2,3,21,1850.0,2710.0,0.0,2670.0,1
2,11,221,2,3,10,820.0,2710.0,0.0,2670.0,1
2,12,276,2,3,16,1280.0,2740.0,0.0,2720.0,1
2,12,268,2,3,18,1440.0,2740.0,0.0,2720.0,1
2,13,223,2,3,17,1530.0,2720.0,0.0,2650.0,1
2,13,258,2,3,14,1120.0,2720.0,0.0,2650.0,1
2,14,267,2,3,18,1470.0,2770.0,0.0,2700.0,1
2,14,220,2,3,14,1230.0,2770.0,0.0,2700.0,1
3,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,0
3,0,313,2,3,2,160.0,2700.0,0.0,2660.0,0
3,0,243,2,3,4,320.0,2700.0,0.0,2660.0,0
3,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,0
3,1,272,2,3,9,720.0,2740.0,0.0,2730.0,0
3,1,293,2,3,1,90.0,2740.0,0.0,2730.0,0
3,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,0
3,2,281,2,3,9,720.0,2710.0,0.0,2690.0,0
3,2,100,1,6,1,50.0,2710.0,0.0,2690.0,0
3,3,312,2,3,23,1840.0,2720.0,0.0,2700.0,0
3,3,288,2,3,9,810.0,2720.0,0.0,2700.0,0
3,3,224,2,1,1,50.0,2720.0,0.0,2700.0,0
3,4,219,2,3,24,2060.0,2720.0,0.0,2700.0,0
3,4,256,2,3,3,240.0,2720.0,0.0,2700.0,0
3,4,292,2,3,5,400.0,2720.0,0.0,2700.0,0
3,5,249,2,3,23,1970.0,2720.0,0.0,2690.0,1
3,5,284,2,3,9,720.0,2720.0,0.0,2690.0,1
3,6,245,2,3,24,2090.0,2730.0,0.0,2730.0,0
3,6,336,2,3,7,560.0,2730.0,0.0,2730.0,0
3,6,299,2,3,1,80.0,2730.0,0.0,2730.0,0
3,7,317,2,3,12,960.0,2700.0,0.0,2640.0,1
3,7,275,2,3,21,1680.0,2700.0,0.0,2640.0,1
3,8,247,2,3,22,1790.0,2760.0,0.0,2750.0,1
3,8,279,2,3,12,960.0,2760.0,0.0,2750.0,1
3,9,238,2,3,22,1800.0,2710.0,0.0,2690.0,0
3,9,282,2,3,10,800.0,2710.0,0.0,2690.0,0
3,9,290,2,3,1,90.0,2710.0,0.0,2690.0,0
3,10,335,2,3,22,1980.0,2720.0,0.0,2710.0,1
3,10,274,2,3,9,730.0,2720.0,0.0,2710.0,1
3,11,235,2,3,21,1850.0,2710.0,0.0,2670.0,1
3,11,221,2,3,10,820.0,2710.0,0.0,2670.0,1
3,12,276,2,3,16,1280.0,2740.0,0.0,2720.0,1
3,12,268,2,3,18,1440.0,2740.0,0.0,2720.0,1
3,13,223,2,3,17,1530.0,2720.0,0.0,2650.0,1
3,13,258,2,3,14,1120.0,2720.0,0.0,2650.0,1
3,14,267,2,3,18,1470.0,2770.0,0.0,2700.0,1
3,14,220,2,3,14,1230.0,2770.0,0.0,2700.0,1
4,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,0
4,0,313,2,3,2,160.0,2700.0,0.0,2660.0,0
4,0,243,2,3,4,320.0,2700.0,0.0,2660.0,0
4,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,0
4,1,272,2,3,9,720.0,2740.0,0.0,2730.0,0
4,1,293,2,3,1,90.0,2740.0,0.0,2730.0,0
4,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,0
4,2,281,2,3,9,720.0,2710.0,0.0,2690.0,0
4,2,100,1,6,1,50.0,2710.0,0.0,2690.0,0
4,3,312,2,3,23,1840.0,2720.0,0.0,2700.0,0
4,3,288,2,3,9,810.0,2720.0,0.0,2700.0,0
4,3,224,2,1,1,50.0,2720.0,0.0,2700.0,0
4,4,219,2,3,24,2060.0,2720.0,0.0,2700.0,0
4,4,256,2,3,3,240.0,2720.0,0.0,2700.0,0
4,4,292,2,3,5,400.0,2720.0,0.0,2700.0,0
4,5,249,2,3,23,1970.0,2720.0,0.0,2690.0,1
4,5,284,2,3,9,720.0,2720.0,0.0,2690.0,1
4,6,245,2,3,24,2090.0,2730.0,0.0,2730.0,0
4,6,336,2,3,7,560.0,2730.0,0.0,2730.0,0
4,6,299,2,3,1,80.0,2730.0,0.0,2730.0,0
4,7,317,2,3,12,960.0,2700.0,0.0,2640.0,1
4,7,275,2,3,21,1680.0,2700.0,0.0,2640.0,1
4,8,247,2,3,22,1790.0,2760.0,0.0,2750.0,1
4,8,279,2,3,12,960.0,2760.0,0.0,2750.0,1
4,9,238,2,3,22,1800.0,2710.0,0.0,2690.0,0
4,9,282,2,3,10,800.0,2710.0,0.0,2690.0,0
4,9,290,2,3,1,90.0,2710.0,0.0,2690.0,0
4,10,335,2,3,22,1980.0,2720.0,0.0,2710.0,1
4,10,274,2,3,9,730.0,2720.0,0.0,2710.0,1
4,11,235,2,3,21,1850.0,2710.0,0.0,2670.0,1
4,11,221,2,3,10,820.0,2710.0,0.0,2670.0,1
4,12,276,2,3,16,1280.0,2740.0,0.0,2720.0,1
4,12,268,2,3,18,1440.0,2740.0,0.0,2720.0,1
4,13,223,2,3,17,1530.0,2720.0,0.0,2650.0,1
4,13,258,2,3,14,1120.0,2720.0,0.0,2650.0,1
4,14,267,2,3,18,1470.0,2770.0,0.0,2700.0,1
4,14,220,2,3,14,1230.0,2770.0,0.0,2700.0,1
