ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
1,5,143,1,3,14,1260.0,2700.0,0.0,2520.0,0
1,5,199,1,3,12,1080.0,2700.0,0.0,2520.0,0
1,5,65,1,3,2,180.0,2700.0,0.0,2520.0,0
1,6,213,1,3,17,1615.0,2700.0,0.0,2695.0,0
1,6,107,1,3,10,900.0,2700.0,0.0,2695.0,0
1,6,34,1,3,2,180.0,2700.0,0.0,2695.0,0
1,7,23,1,3,20,1800.0,2700.0,0.0,2700.0,1
1,7,49,1,3,10,900.0,2700.0,0.0,2700.0,1
1,8,184,1,3,21,1985.0,2700.0,0.0,2695.0,0
1,8,200,1,3,7,630.0,2700.0,0.0,2695.0,0
1,8,299,2,3,1,80.0,2700.0,0.0,2695.0,0
1,9,194,1,3,20,1800.0,2700.0,0.0,2700.0,0
1,9,118,1,3,9,810.0,2700.0,0.0,2700.0,0
1,9,35,1,3,1,90.0,2700.0,0.0,2700.0,0
1,10,1,1,3,20,1800.0,2700.0,0.0,2700.0,0
1,10,195,1,3,9,810.0,2700.0,0.0,2700.0,0
1,10,81,1,3,1,90.0,2700.0,0.0,2700.0,0
1,11,42,1,3,20,1800.0,2700.0,0.0,2700.0,1
1,11,119,1,3,10,900.0,2700.0,0.0,2700.0,1
1,12,44,1,3,20,1800.0,2700.0,0.0,2700.0,1
1,12,193,1,3,10,900.0,2700.0,0.0,2700.0,1
1,13,38,1,3,19,1710.0,2700.0,0.0,2700.0,1
1,13,15,1,3,11,990.0,2700.0,0.0,2700.0,1
1,14,58,1,3,16,1440.0,2700.0,0.0,2700.0,1
1,14,198,1,3,14,1260.0,2700.0,0.0,2700.0,1
2,0,18,1,3,28,2520.0,2700.0,0.0,2700.0,1
2,0,197,1,3,2,180.0,2700.0,0.0,2700.0,1
2,1,83,1,3,29,2610.0,2700.0,0.0,2700.0,1
2,1,100,1,3,1,90.0,2700.0,0.0,2700.0,1
2,2,115,1,3,26,2340.0,2700.0,0.0,2700.0,0
2,2,99,1,3,3,270.0,2700.0,0.0,2700.0,0
2,2,201,1,3,1,90.0,2700.0,0.0,2700.0,0
2,3,192,1,3,21,1890.0,2700.0,0.0,2700.0,1
2,3,191,1,3,9,810.0,2700.0,0.0,2700.0,1
2,4,130,1,3,21,1890.0,2700.0,0.0,2640.0,0
2,4,144,1,3,6,570.0,2700.0,0.0,2640.0,0
2,4,101,1,3,2,180.0,2700.0,0.0,2640.0,0
2,5,143,1,3,14,1260.0,2700.0,0.0,2520.0,0
2,5,199,1,3,12,1080.0,2700.0,0.0,2520.0,0
2,5,65,1,3,2,180.0,2700.0,0.0,2520.0,0
2,6,213,1,3,17,1615.0,2700.0,0.0,2695.0,0
2,6,107,1,3,10,900.0,2700.0,0.0,2695.0,0
2,6,34,1,3,2,180.0,2700.0,0.0,2695.0,0
2,7,23,1,3,20,1800.0,2700.0,0.0,2700.0,1
2,7,49,1,3,10,900.0,2700.0,0.0,2700.0,1
2,8,184,1,3,21,1985.0,2700.0,0.0,2695.0,0
2,8,200,1,3,7,630.0,2700.0,0.0,2695.0,0
2,8,299,2,3,1,80.0,2700.0,0.0,2695.0,0
2,9,194,1,3,20,1800.0,2700.0,0.0,2700.0,0
2,9,118,1,3,9,810.0,2700.0,0.0,2700.0,0
2,9,35,1,3,1,90.0,2700.0,0.0,2700.0,0
2,10,1,1,3,20,1800.0,2700.0,0.0,2700.0,0
2,10,195,1,3,9,810.0,2700.0,0.0,2700.0,0
2,10,81,1,3,1,90.0,2700.0,0.0,2700.0,0
2,11,42,1,3,20,1800.0,2700.0,0.0,2700.0,1
2,11,119,1,3,10,900.0,2700.0,0.0,2700.0,1
2,12,44,1,3,20,1800.0,2700.0,0.0,2700.0,1
2,12,193,1,3,10,900.0,2700.0,0.0,2700.0,1
2,13,38,1,3,19,1710.0,2700.0,0.0,2700.0,1
2,13,15,1,3,11,990.0,2700.0,0.0,2700.0,1
2,14,58,1,3,16,1440.0,2700.0,0.0,2700.0,1
2,14,198,1,3,14,1260.0,2700.0,0.0,2700.0,1
3,0,18,1,3,28,2520.0,2700.0,0.0,2700.0,1
3,0,197,1,3,2,180.0,2700.0,0.0,2700.0,1
3,1,83,1,3,29,2610.0,2700.0,0.0,2700.0,1
3,1,100,1,3,1,90.0,2700.0,0.0,2700.0,1
3,2,115,1,3,26,2340.0,2700.0,0.0,2700.0,0
3,2,99,1,3,3,270.0,2700.0,0.0,2700.0,0
3,2,201,1,3,1,90.0,2700.0,0.0,2700.0,0
3,3,192,1,3,21,1890.0,2700.0,0.0,2700.0,1
3,3,191,1,3,9,810.0,2700.0,0.0,2700.0,1
3,4,130,1,3,21,1890.0,2700.0,0.0,2640.0,0
3,4,144,1,3,6,570.0,2700.0,0.0,2640.0,0
3,4,101,1,3,2,180.0,2700.0,0.0,2640.0,0
3,5,143,1,3,14,1260.0,2700.0,0.0,2520.0,0
3,5,199,1,3,12,1080.0,2700.0,0.0,2520.0,0
3,5,65,1,3,2,180.0,2700.0,0.0,2520.0,0
3,6,213,1,3,17,1615.0,2700.0,0.0,2695.0,0
3,6,107,1,3,10,900.0,2700.0,0.0,2695.0,0
3,6,34,1,3,2,180.0,2700.0,0.0,2695.0,0
3,7,23,1,3,20,1800.0,2700.0,0.0,2700.0,1
3,7,49,1,3,10,900.0,2700.0,0.0,2700.0,1
3,8,184,1,3,21,1985.0,2700.0,0.0,2695.0,0
3,8,200,1,3,7,630.0,2700.0,0.0,2695.0,0
3,8,299,2,3,1,80.0,2700.0,0.0,2695.0,0
3,9,194,1,3,20,1800.0,2700.0,0.0,2700.0,0
3,9,118,1,3,9,810.0,2700.0,0.0,2700.0,0
3,9,35,1,3,1,90.0,2700.0,0.0,2700.0,0
3,10,1,1,3,20,1800.0,2700.0,0.0,2700.0,0
3,10,195,1,3,9,810.0,2700.0,0.0,2700.0,0
3,10,81,1,3,1,90.0,2700.0,0.0,2700.0,0
3,11,42,1,3,20,1800.0,2700.0,0.0,2700.0,1
3,11,119,1,3,10,900.0,2700.0,0.0,2700.0,1
3,12,44,1,3,20,1800.0,2700.0,0.0,2700.0,1
3,12,193,1,3,10,900.0,2700.0,0.0,2700.0,1
3,13,38,1,3,19,1710.0,2700.0,0.0,2700.0,1
3,13,15,1,3,11,990.0,2700.0,0.0,2700.0,1
3,14,58,1,3,16,1440.0,2700.0,0.0,2700.0,1
3,14,198,1,3,14,1260.0,2700.0,0.0,2700.0,1
4,0,18,1,3,28,2520.0,2700.0,0.0,2700.0,1
4,0,197,1,3,2,180.0,2700.0,0.0,2700.0,1
4,1,83,1,3,29,2610.0,2700.0,0.0,2700.0,1
4,1,100,1,3,1,90.0,2700.0,0.0,2700.0,1
4,2,115,1,3,26,2340.0,2700.0,0.0,2700.0,0
4,2,99,1,3,3,270.0,2700.0,0.0,2700.0,0
4,2,201,1,3,1,90.0,2700.0,0.0,2700.0,0
4,3,192,1,3,21,1890.0,2700.0,0.0,2700.0,1
4,3,191,1,3,9,810.0,2700.0,0.0,2700.0,1
4,4,130,1,3,21,1890.0,2700.0,0.0,2640.0,0
4,4,144,1,3,6,570.0,2700.0,0.0,2640.0,0
4,4,101,1,3,2,180.0,2700.0,0.0,2640.0,0
4,5,143,1,3,14,1260.0,2700.0,0.0,2520.0,0
4,5,199,1,3,12,1080.0,2700.0,0.0,2520.0,0
4,5,65,1,3,2,180.0,2700.0,0.0,2520.0,0
4,6,213,1,3,17,1615.0,2700.0,0.0,2695.0,0
4,6,107,1,3,10,900.0,2700.0,0.0,2695.0,0
4,6,34,1,3,2,180.0,2700.0,0.0,2695.0,0
4,7,23,1,3,20,1800.0,2700.0,0.0,2700.0,1
4,7,49,1,3,10,900.0,2700.0,0.0,2700.0,1
4,8,184,1,3,21,1985.0,2700.0,0.0,2695.0,0
4,8,200,1,3,7,630.0,2700.0,0.0,2695.0,0
4,8,299,2,3,1,80.0,2700.0,0.0,2695.0,0
4,9,194,1,3,20,1800.0,2700.0,0.0,2700.0,0
4,9,118,1,3,9,810.0,2700.0,0.0,2700.0,0
4,9,35,1,3,1,90.0,2700.0,0.0,2700.0,0
4,10,1,1,3,20,1800.0,2700.0,0.0,2700.0,0
4,10,195,1,3,9,810.0,2700.0,0.0,2700.0,0
4,10,81,1,3,1,90.0,2700.0,0.0,2700.0,0
4,11,42,1,3,20,1800.0,2700.0,0.0,2700.0,1
4,11,119,1,3,10,900.0,2700.0,0.0,2700.0,1
4,12,44,1,3,20,1800.0,2700.0,0.0,2700.0,1
4,12,193,1,3,10,900.0,2700.0,0.0,2700.0,1
4,13,38,1,3,19,1710.0,2700.0,0.0,2700.0,1
4,13,15,1,3,11,990.0,2700.0,0.0,2700.0,1
4,14,58,1,3,16,1440.0,2700.0,0.0,2700.0,1
4,14,198,1,3,14,1260.0,2700.0,0.0,2700.0,1
